,Unnamed: 0.1,Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
10,10,335784,27/10/2020 18:42,180085000000000.0,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,124.54,Holly,Mann,F,7644 Joseph Fields,Nokomis,IL,62075,39.3036,-89.2853,3458,Building surveyor,08/12/1985,70f3253baeb7b82cba6be36f41da9a96,1382899341,40.024612,-88.428425
11,11,456809,09/12/2020 21:42,30030400000000.0,"fraud_Koss, McLaughlin and Mayer",food_dining,60.87,William,Jenkins,M,50614 Kevin Point,Harper,TX,78631,30.2816,-99.241,2395,"Pharmacist, community",17/11/1993,4130485c973a52eae408dadebd658bc7,1386625345,30.037124,-98.27476
12,12,355827,06/11/2020 02:50,30427000000000.0,fraud_Kuhn LLC,misc_net,34.38,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,20/11/1969,85bf3e92a19647e63481af531c82172b,1383706245,42.409298,-83.412567
13,13,107995,28/07/2020 14:56,573860000000.0,fraud_Powlowski-Weimann,food_dining,51.71,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,23/07/1986,ea0cf9a5657470c0665cfe9f8f55ee98,1375023379,41.779846,-87.122825
14,14,447558,07/12/2020 22:40,4.95683e+18,fraud_Kilback and Sons,entertainment,13.58,Kenneth,Robinson,M,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,21/12/1980,09c5ff8b6716f83aa0f2f78f7f594f18,1386456035,41.509248,-74.141399
15,15,308724,16/10/2020 13:01,4874020000000000.0,"fraud_Langosh, Wintheiser and Hyatt",food_dining,34.96,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,28/05/1982,c488edf00c1471fee343020008e90ed3,1381928512,44.879473,-122.072735
16,16,384833,18/11/2020 06:40,6011110000000000.0,fraud_Dicki Ltd,grocery_net,52.64,Rebecca,Erickson,F,594 Berry Lights Apt. 392,Wilmington,NC,28405,34.2651,-77.867,186140,English as a second language teacher,08/02/1983,7d466cdf91221ae681b35b3a72ccc84c,1384756822,34.727792,-77.697031
17,17,27386,30/06/2020 09:35,4025610000000000.0,fraud_Vandervort-Funk,grocery_pos,93.6,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,20/03/1949,63c31249303933b244336ad7413bba90,1372584936,42.055564,-78.769892
18,18,354511,05/11/2020 08:15,4.79263e+18,fraud_Miller-Harris,misc_net,13.79,Margaret,Mendez,F,7952 Karen Pike,De Soto,KS,66018,38.9462,-94.9714,5760,Chief Executive Officer,01/10/1978,38fe81cd79d562399d96fdd3143c922b,1383639331,38.475451,-95.769063
19,19,505323,21/12/2020 00:09,4279160000000.0,fraud_Kilback LLC,grocery_pos,143.24,Lisa,Hendrix,F,35737 Kirby Fall Suite 409,Vanderbilt,PA,15486,40.0246,-79.6955,2303,Physiotherapist,16/08/1987,5fc29fa6cc32e2437730b27551508b4f,1387584558,39.856115,-79.35232
20,20,279989,04/10/2020 03:02,180048000000000.0,fraud_Padberg-Welch,grocery_pos,196.4,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,19/07/1974,a50fbe481d3c28ad6f934ae87dfb2b4e,1380855723,40.674547,-74.599164
21,21,41332,05/07/2020 19:54,4424340000000000.0,fraud_Klein Group,entertainment,58.73,Denise,Barnett,F,23220 Eaton Harbors,Kirby,OH,43330,40.813,-83.4196,118,Private music teacher,12/11/1957,8a2b6fd19d3b411aa039d8f56a5a8025,1373054058,41.386511,-84.25906
22,22,344917,01/11/2020 14:20,3502090000000000.0,fraud_Lesch Ltd,shopping_pos,8.23,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,08/09/1976,aa1fd7e2dae5419d7f982c2b3350f187,1383315612,39.574867,-76.128963
23,23,11772,24/06/2020 23:08,561943000000.0,fraud_Shanahan-Lehner,personal_care,65.32,Melissa,Brown,F,330 Montoya Ramp,Washington,DC,20036,38.9087,-77.0414,601723,Prison officer,14/03/1986,cbd64caf75e31168f8e8deb804f76a39,1372115313,39.472136,-76.811473
24,24,440352,06/12/2020 19:52,4.98985e+18,"fraud_Hermiston, Russel and Price",food_dining,38.94,Vanessa,Anderson,F,21178 Brittney Locks,Prosperity,SC,29127,34.1832,-81.5324,8333,Archaeologist,09/07/1994,749114c6dc74981c96e66c4d5201d75f,1386359555,33.356406,-80.652615
25,25,48883,07/07/2020 17:48,4979420000000000.0,"fraud_Schneider, Hayes and Nikolaus",food_dining,18.24,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,10/02/1935,47fbe33757d22995f6e42eb7f67c1241,1373219286,42.252497,-100.044778
26,26,363365,09/11/2020 11:43,4.50254e+18,fraud_Rau and Sons,grocery_pos,107.76,Stephanie,Cummings,F,1025 Robin Square,Ash Flat,AR,72513,36.2201,-91.6421,2856,Hydrologist,27/08/1926,a002355f06c7ed4fc52f75d5a60bcf03,1383997393,36.891762,-91.735306
27,27,552122,30/12/2020 22:44,377896000000000.0,"fraud_Durgan, Gislason and Spencer",home,18.99,Kimberly,Myers,F,6881 King Isle Suite 228,Higganum,CT,6441,41.4682,-72.5751,5438,"Librarian, academic",17/11/1964,8fece5204f9396d612f611dfbfef06b6,1388443487,42.360172,-72.037311
28,28,279992,04/10/2020 03:04,3514870000000000.0,"fraud_Rowe, Batz and Goodwin",grocery_pos,131.99,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30/08/1967,b6f6f3b594581bc42b7564609f3026b1,1380855885,32.966732,-106.453255
29,29,439132,06/12/2020 15:08,375975000000000.0,fraud_Jewess LLC,shopping_pos,7.75,Roberta,Mccarthy,F,94431 Matthew Mall Suite 296,Plymouth,CT,6782,41.6611,-73.0449,2376,Herpetologist,06/04/1973,8b5ab131c9992c213464300a3a4147c9,1386342503,41.94538,-73.063571
30,30,84225,20/07/2020 15:20,6011650000000000.0,fraud_Abbott-Rogahn,entertainment,37.61,Kathryn,Smith,F,19838 Tonya Prairie Apt. 947,Rocky Mount,MO,65072,38.2911,-92.7059,1847,Tax inspector,26/10/1988,a18e70681b06fa85b392112487bde883,1374333608,39.187976,-92.078126
31,31,32851,02/07/2020 13:17,3533010000000000.0,fraud_Gleason-Macejkovic,shopping_net,537.57,Megan,Bernard,F,128 Nathan Ramp,Barneveld,NY,13304,43.2237,-75.1612,1684,IT trainer,01/03/1994,83dea79c710c2aa0240a3650b3b4b6bf,1372771049,42.224361,-74.857066
32,32,551203,30/12/2020 16:32,180094000000000.0,"fraud_Goyette, Howell and Collier",shopping_pos,9.79,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22/09/1972,6d0f941f702fb1ef4a0f2bec276afe1a,1388421153,34.228033,-117.713608
33,33,299654,12/10/2020 12:00,630442000000.0,fraud_Johns Inc,entertainment,210.36,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26/07/1965,1cd2b530d2f9ab245ebab011410004c7,1381579217,31.060776,-99.950132
34,34,365838,10/11/2020 03:23,4550600000000000.0,"fraud_Kerluke, Kertzmann and Wiza",misc_net,5.07,Angela,West,F,9471 Wong Islands,Mansfield,OH,44902,40.7559,-82.5123,92985,Press photographer,29/05/1968,ea12c7c3c04e054e51b12dc5cfd08b5b,1384053795,41.533541,-82.797399
35,35,84656,20/07/2020 17:21,4.662e+18,fraud_Jacobi Inc,health_fitness,66.91,Linda,Park,F,24607 Charles Mountains,Fenelton,PA,16034,40.8555,-79.7372,2054,Operations geologist,04/08/1963,099e1e2a7ede15dc9943b98383537528,1374340890,40.522303,-79.122611
36,36,512439,22/12/2020 03:38,4344960000000000.0,fraud_Wiegand-Lowe,grocery_net,49.13,Christopher,Rodgers,M,30587 Fox Shores Apt. 627,Fenelton,PA,16034,40.8555,-79.7372,2054,Communications engineer,29/09/1976,3b0e0a85e78db8b01b44054f3a22c697,1387683535,40.377852,-79.206645
37,37,500439,20/12/2020 03:17,4629450000000000.0,fraud_Huels-Hahn,gas_transport,63.65,Karen,Warren,F,4900 Curtis Gardens Suite 952,Hahira,GA,31632,30.9416,-83.3574,10295,"Teacher, special educational needs",26/12/1997,2d23415a775f4729ef9638620ce30559,1387509464,31.043181,-82.632759
38,38,151483,13/08/2020 01:54,4334230000000000.0,fraud_Denesik and Sons,shopping_pos,8.34,Scott,Martin,M,7483 Navarro Flats,Freedom,WY,83120,43.0172,-111.0292,471,"Education officer, museum",02/08/1967,afb0edf61ad993c51375e7bd4f989cff,1376358886,43.361978,-111.658147
39,39,53279,09/07/2020 16:55,3521420000000000.0,fraud_Baumbach Ltd,personal_care,24.72,Angela,Hodges,F,08236 Kim Hill,Indianapolis,IN,46254,39.849,-86.272,910148,Firefighter,30/11/1975,707884f814032f51f825e300ef6774b5,1373388954,40.380551,-87.005329
40,40,531682,27/12/2020 01:18,3536920000000000.0,fraud_Sporer Inc,gas_transport,54.58,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,12/06/1955,304e1dca1ecd05a7329527e12c7c828e,1388107093,38.049289,-122.731869
41,41,481134,15/12/2020 06:33,30446000000000.0,fraud_Kiehn-Emmerich,grocery_pos,114.09,Felicia,Thomas,F,47035 Murray Harbors,Achille,OK,74720,33.8396,-96.3648,608,Seismic interpreter,27/05/1993,4f964cc1d0a57d303c062eacf501285f,1387089225,33.579988,-97.065188
42,42,56502,11/07/2020 00:57,180094000000000.0,fraud_McDermott-Rice,misc_pos,6.1,Sharon,Smith,F,17666 David Valleys,Sun City,CA,92585,33.7467,-117.1721,54287,"Designer, exhibition/display",22/09/1972,1d86d729996ffd85ada2bdfeaf494966,1373504279,33.927991,-117.178349
43,43,82419,20/07/2020 03:22,4147610000000000.0,fraud_Wolf Inc,grocery_pos,165.85,Edward,Tapia,M,354 Gutierrez Gateway,Comfrey,MN,56019,44.1111,-94.9134,914,Health and safety adviser,26/07/1944,452b70349cbcafd3b1b3e232bf996971,1374290529,44.843898,-95.26086
44,44,375414,14/11/2020 22:54,3593120000000000.0,fraud_Nader-Maggio,personal_care,147.24,Laura,Casey,F,6114 Moran Way,Steuben,ME,4680,44.4971,-67.9503,1131,Make,10/05/1959,6d789b118cc4652e3d5788252ef2824c,1384469647,45.439953,-67.583698
45,45,118134,01/08/2020 23:30,3553630000000000.0,fraud_Goyette-Herzog,travel,9.31,Sharon,Johnson,F,7202 Jeffrey Mills,Conway,WA,98238,48.34,-122.3456,85,"Research officer, political party",01/09/1984,becfdfc7a28cf2212a0e9a7a9423e113,1375399824,47.569765,-121.986592
46,46,252781,21/09/2020 18:28,373905000000000.0,"fraud_Klocko, Runolfsdottir and Breitenberg",health_fitness,60.61,Sarah,Bishop,F,554 Mcdonald Valley Apt. 539,Meridian,TX,76665,31.929,-97.6443,2526,Phytotherapist,12/11/1970,6cfd44eba242dc68f9896e5b9359accc,1379788119,32.84102,-97.414982
47,47,263833,27/09/2020 01:38,30153500000000.0,fraud_Mayert Group,shopping_pos,5.33,Robin,Smith,F,0537 Margaret Common Suite 526,Coleman,TX,76834,31.8287,-99.427,5908,Radio producer,05/04/1962,aa33c315bb73229be410100bc9384d56,1380245892,31.704452,-99.79663
48,48,329550,25/10/2020 18:56,375768000000000.0,"fraud_Cronin, Kshlerin and Weber",health_fitness,12.2,Christopher,Patterson,M,16744 Campbell Wall Apt. 372,Timberville,VA,22853,38.6476,-78.7717,4367,Waste management officer,12/04/1962,28dd449eb9309e8887945ac47c8a6aff,1382727360,38.278949,-78.55835
49,49,208645,02/09/2020 02:56,3583640000000000.0,"fraud_Kohler, Lindgren and Koelpin",grocery_net,39.61,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,01/01/1985,3b4c5dccdf3970a7a30cc475003c72b6,1378090567,39.792367,-75.11471
50,50,321369,21/10/2020 13:20,4005680000000000.0,fraud_Fritsch and Sons,health_fitness,62.94,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,f20657591e317f0c62fe26d7665ade8e,1382361626,30.876258,-90.755471
51,51,90189,22/07/2020 03:48,30199600000000.0,fraud_Pacocha-O'Reilly,grocery_pos,173.35,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,23/03/1977,08a5fb699e799a27e7704837ab00b6d7,1374464936,33.40377,-96.187828
52,52,279374,03/10/2020 20:35,377234000000000.0,fraud_Haag-Blanda,food_dining,15.68,Theresa,Blackwell,F,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,14/02/1966,d754995a6e2186937843d26c022a70e6,1380832537,39.824215,-77.535583
53,53,123051,03/08/2020 10:41,3598220000000000.0,fraud_Lockman Ltd,grocery_pos,209.44,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21/10/1970,e3864fa39ce6a19dc2df4491094c4a05,1375526467,41.659519,-72.957878
54,54,328733,25/10/2020 13:15,4681700000000.0,fraud_Collier LLC,home,34.22,Joseph,Gonzalez,M,319 Wendy Fort Suite 179,Murfreesboro,TN,37132,35.8596,-86.421,158701,"Journalist, newspaper",06/03/1978,a17d713f7cf5d90ad8cc6fc01c634802,1382706957,36.572269,-85.69528
55,55,71059,15/07/2020 14:51,213103000000000.0,fraud_Hamill-D'Amore,health_fitness,8.37,Joanne,Padilla,F,477 Alejandro Knolls Suite 828,Gardiner,OR,97441,43.7857,-124.1437,260,"Engineer, maintenance",01/09/1956,b1764fffc4124e895bf8d943e307b867,1373899866,44.743259,-124.306118
56,56,312909,18/10/2020 13:31,340954000000000.0,"fraud_Baumbach, Feeney and Morar",shopping_net,180.42,Tyler,Wright,M,615 Clarke Spring Apt. 172,Warren,MI,48088,42.5164,-82.9832,134056,"Doctor, hospital",18/05/1980,739c7960b35aaa419f93b26f7e6ec48f,1382103070,42.998638,-82.371968
57,57,81638,19/07/2020 21:57,38859500000000.0,fraud_Rau-Robel,kids_pets,33.72,Edward,Sanchez,M,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,19/01/1962,621c4a4d13ffa7431e4e5b2636b8ccc0,1374271065,42.472446,-111.652817
58,58,91689,22/07/2020 23:12,6592860000000000.0,fraud_Gleason-Macejkovic,shopping_net,6.27,Ashley,Whitehead,F,58188 Madison Meadow Apt. 949,Cowlesville,NY,14037,42.8112,-78.4481,1166,Colour technologist,12/06/1983,5e368a452de41ba9be50b09bc4b83988,1374534774,42.133831,-79.061167
59,59,292987,09/10/2020 16:13,4.58766e+18,"fraud_Lesch, D'Amore and Brown",food_dining,17.47,Amber,Lewis,F,6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135,"Psychotherapist, child",08/05/2004,9a87a49cec102ef45500ce4583935d8b,1381335218,41.782809,-87.619105
60,60,230344,12/09/2020 08:21,2720830000000000.0,fraud_Kilback LLC,grocery_pos,197.55,Melissa,Aguilar,F,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,28/03/1974,4ed00275e45e2f2468360526486e4ec0,1378974085,36.214058,-87.65318
61,61,27795,30/06/2020 12:29,342351000000000.0,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,97.78,Rebecca,Obrien,F,5619 Mendoza Inlet,Juliette,GA,31046,33.1194,-83.8235,3343,Theatre manager,08/06/1990,ff45a285237276b8ccb7855db6a4a0f5,1372595371,33.08607,-83.204319
62,62,12808,25/06/2020 12:49,36913600000000.0,"fraud_Hermiston, Pacocha and Smith",health_fitness,37.74,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,11/02/1971,89c0b98265307eed21a2dd09bbc167ed,1372164581,43.051599,-116.106741
63,63,216777,06/09/2020 13:02,6011390000000000.0,"fraud_Nienow, Barrows and Romaguera",personal_care,154.83,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,05/02/1951,3d5ef71828c49dfc5633de92fda2eb1a,1378472568,41.052069,-79.708893
64,64,189125,26/08/2020 05:36,4239550000000000.0,"fraud_Baumbach, Strosin and Nicolas",shopping_pos,173.27,Carl,Hernandez,M,9134 Darryl Flat Suite 916,Paulding,OH,45879,41.141,-84.5722,6284,Secondary school teacher,27/03/1936,443f379a1eb84e570212f0ff5feb8ebd,1377495377,41.149595,-84.499488
65,65,531463,27/12/2020 00:02,213158000000000.0,fraud_Miller-Hauck,grocery_pos,240.84,Tara,Campbell,F,05050 Rogers Well Apt. 439,Rock Springs,WY,82901,41.606,-109.23,27971,Music therapist,01/08/1984,aea3362776dccd68b8a287168cba851c,1388102521,42.386031,-108.476397
66,66,499122,19/12/2020 20:01,4561550000000.0,fraud_Eichmann-Russel,misc_pos,8.3,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",04/08/1988,dfd94dc72d5b96cae2a809753d7336b2,1387483301,34.606104,-106.699564
67,67,475084,14/12/2020 07:45,2274910000000000.0,"fraud_Nitzsche, Kessler and Wolff",shopping_pos,5.9,Robert,Velazquez,M,3136 Silva Stream,Parker,CO,80138,39.5102,-104.7216,84861,Materials engineer,10/03/1932,faad895eb2bba4bb2aff0c4808a949b3,1387007124,40.427501,-105.405029
68,68,207351,01/09/2020 17:53,4998110000000000.0,fraud_Kilback and Sons,entertainment,77.71,Mary,Pruitt,F,2819 Luke Greens Suite 563,Kansas City,MO,64114,38.9621,-94.5959,545147,Counsellor,18/11/1987,de2bf1f7a8c8eae51f7891c33b02306c,1378058015,39.383618,-94.506475
69,69,228956,11/09/2020 15:02,5359540000000000.0,fraud_Conroy Ltd,shopping_pos,68.53,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",29/06/1975,c543a85e580d146b84a90f24bbb9dc34,1378911769,45.383119,-110.748103
70,70,161197,16/08/2020 23:58,6526450000000000.0,fraud_Gulgowski LLC,home,20.9,Nathan,Stewart,M,63502 Brown Road Apt. 318,West Long Branch,NJ,7764,40.2878,-74.0162,8097,Mechanical engineer,18/02/1964,8ea5ed65b34f6324547a15436000a57d,1376697486,39.816177,-73.659634
71,71,365149,09/11/2020 21:56,3500970000000000.0,"fraud_Bahringer, Osinski and Block",food_dining,9.0,Kenneth,Sanchez,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,31/05/1999,e6a69ae268dbcdadae1931f6eaaf7380,1384034185,47.711211,-117.604789
72,72,511195,21/12/2020 22:28,4430880000000000.0,fraud_Howe PLC,entertainment,92.82,Alicia,Morales,F,4456 Dunn Roads,Meredith,CO,81642,39.3199,-106.6596,61,Public relations account executive,04/11/1939,e38ee262e699d26b6766a13bd6bfb800,1387664898,39.501798,-107.268611
73,73,21776,28/06/2020 22:30,30371000000000.0,fraud_White and Sons,home,38.17,Robert,James,M,92021 Miranda Meadows,Tamaroa,IL,62888,38.138,-89.2231,2135,"Development worker, community",31/01/1961,ab95517e69cc78bb70cec0b82384bba8,1372458623,37.22014,-89.808569
74,74,521012,24/12/2020 02:30,4247920000000.0,"fraud_Feil, Hilpert and Koss",food_dining,164.57,Judith,Moss,F,46297 Benjamin Plains Suite 703,Washington Court House,OH,43160,39.537,-83.455,22305,Television floor manager,09/03/1939,514a0d0d59090a8bf84908c94532071f,1387852210,40.027487,-82.882732
75,75,325773,24/10/2020 00:12,3581130000000000.0,fraud_Schuppe LLC,entertainment,2.56,Gregory,Wood,M,622 Robert Summit,Akron,OH,44307,41.0695,-81.5488,272134,Call centre manager,15/03/1964,2d5645bebc1a2bcd26204b1fed06dd56,1382573566,40.115838,-82.351826
76,76,87285,21/07/2020 09:28,3560700000000000.0,fraud_Barrows PLC,shopping_pos,7.24,Matthew,Young,M,8840 Miller Port Suite 645,Indian Wells,CA,92210,33.7163,-116.3381,4677,Learning mentor,06/05/1955,493316899b286ebb9f5136e55670c855,1374398911,33.3825,-115.342572
77,77,202653,31/08/2020 14:13,3585740000000000.0,fraud_Bode-Schuster,kids_pets,14.1,James,Greene,M,082 Hernandez Bypass Apt. 886,Quanah,TX,79252,34.2956,-99.7494,3202,"Librarian, public",18/03/1998,cb8a1b228d01489fc19d1551ff6da04d,1377958421,35.014268,-99.966226
78,78,457565,10/12/2020 03:32,4010000000000000.0,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,90.22,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,24/08/1983,1a58c1ce9b6894243f4cd60b2bd78592,1386646332,28.824758,-96.276805
79,79,248598,20/09/2020 08:39,4025610000000000.0,fraud_Botsford Ltd,shopping_pos,566.81,Krystal,Key,F,23142 Montoya Island Apt. 742,Corsica,PA,15829,41.1762,-79.1976,1274,Maintenance engineer,20/03/1949,3b90231ad970478f0e3b36f1edb851da,1379666373,40.998472,-79.348731
80,80,272521,29/09/2020 23:03,4450830000000000.0,fraud_Macejkovic-Lesch,shopping_pos,2.65,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,20/01/1972,d260c268967be54da04421607806ef27,1380495785,34.60487,-96.067776
81,81,99810,26/07/2020 11:53,4005680000000000.0,"fraud_Stroman, Hudson and Erdman",gas_transport,93.18,William,Perry,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,30.459,-90.9027,71335,Herbalist,31/05/1994,68c800879acc1556419786e8b58efbbe,1374839622,30.378403,-91.068083
82,82,80666,19/07/2020 16:23,30364100000000.0,"fraud_Towne, Greenholt and Koepp",shopping_net,8.56,Samuel,Sandoval,M,0005 Morrison Land,Mounds,OK,74047,35.8896,-96.0887,7163,Fitness centre manager,05/02/1982,97082f62a18fd51165035ddf083eb9e6,1374251033,36.168721,-96.188621
83,83,304443,13/10/2020 22:50,38057500000000.0,"fraud_Quitzon, Green and Bashirian",shopping_pos,6.85,Marissa,Clark,F,2677 Byrd Village Suite 035,San Jose,CA,95148,37.3304,-121.7913,973849,Geoscientist,18/01/1997,cd5082ab33c49d0d173411b683e21c5d,1381704607,37.33368,-122.424572
84,84,144584,10/08/2020 18:56,2283740000000000.0,fraud_Lynch-Wisozk,home,50.75,Shannon,Williams,F,9345 Spencer Junctions Suite 183,Alpharetta,GA,30009,34.077,-84.3033,165556,Prison officer,27/12/1997,3d8704333b01b8818f7e0d3d61b835e4,1376161013,34.841303,-85.159797
85,85,53299,09/07/2020 17:04,2222000000000000.0,fraud_Roob-Okuneva,health_fitness,21.02,Susan,Hernandez,F,2193 Osborne Run Apt. 789,Moro,IL,62067,38.9318,-89.9618,2401,"Buyer, industrial",03/01/1972,bea67e2589f8c298ba8026354aac4a25,1373389453,39.2097,-89.306455
86,86,441929,07/12/2020 01:53,676102000000.0,fraud_Flatley Group,misc_pos,145.35,Natasha,Mclaughlin,F,8699 Lindsay Ford Apt. 486,Napa,CA,94558,38.4549,-122.2564,94014,Airline pilot,21/08/1985,ef835defa0377ef8a021714eb046ec30,1386381205,38.109217,-123.027409
87,87,249268,20/09/2020 14:37,4859530000000000.0,fraud_Auer LLC,personal_care,47.44,Rebecca,Farley,F,383 Long Islands,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",25/02/1990,05667a33aaa097e9e76fa654eacd6e4f,1379687843,42.518387,-74.584641
88,88,382892,17/11/2020 13:21,375248000000000.0,fraud_Bode-Schuster,kids_pets,8.7,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,16/09/1967,02b10c37c041b6704de4ade5325596b0,1384694463,39.813915,-79.388577
